timestamp,equity,dd_pct
1775347200000,9999.0,0.01
1775350800000,10004.3,0.0
1775354400000,10021.53,0.0
1775358000000,10021.53,0.0
1775361600000,10013.58,0.0793
1775365200000,10014.9,0.0661
1775368800000,9968.52,0.5289
1775372400000,9967.1,0.5431
1775376000000,9992.7,0.2876
1775379600000,10026.84,0.0
1775383200000,9984.17,0.4256
1775386800000,9992.7,0.3405
1775390400000,9960.69,0.6597
1775394000000,9913.75,1.1279
1775397600000,9945.76,0.8087
1775401200000,9956.43,0.7023
1775404800000,9928.69,0.9789
1775408400000,9950.03,0.7661
1775412000000,9967.1,0.5958
1775415600000,9969.23,0.5746
1775419200000,10007.64,0.1915
1775422800000,9992.7,0.3405
1775426400000,10148.46,0.0
1775430000000,10190.35,0.0
1775433600000,10189.35,0.0098
1775437200000,10175.09,0.1497
1775440800000,10221.76,0.0
1775444400000,10267.13,0.0
1775448000000,10309.32,0.0
1775451600000,10308.32,0.0097
1775455200000,10281.95,0.2655
1775458800000,10307.07,0.0219
1775462400000,10349.76,0.0
1775466000000,10392.45,0.0
1775469600000,10428.29,0.0
1775473200000,10427.29,0.0096
1775476800000,10423.57,0.0453
1775480400000,10450.86,0.0
1775484000000,10443.42,0.0712
1775487600000,10412.41,0.3679
1775491200000,10421.09,0.2848
1775494800000,10391.32,0.5697
1775498400000,10407.45,0.4154
1775502000000,10363.02,0.8405
1775505600000,10383.01,0.6492
1775509200000,10319.05,1.2613
1775512800000,10251.08,1.9116
1775516400000,10301.92,1.4251
1775520000000,10272.83,1.7035
1775523600000,10219.95,2.2095
1775527200000,10270.19,1.7288
1775530800000,10272.83,1.7035
1775534400000,10296.63,1.4757
1775538000000,10278.12,1.6529
1775541600000,10238.46,2.0324
1775545200000,10267.55,1.7541
1775548800000,10405.04,0.4384
1775552400000,10410.33,0.3878
1775556000000,10304.56,1.3998
1775559600000,10291.34,1.5263
1775563200000,10214.66,2.2601
1775566800000,10219.95,2.2095
1775570400000,10264.9,1.7794
1775574000000,10325.72,1.1974
1775577600000,10251.68,1.9059
1775581200000,10278.12,1.6529
1775584800000,10254.32,1.8806
1775588400000,10420.91,0.2866
1775592000000,10423.55,0.2613
1775595600000,10678.13,0.0
1775599200000,10677.13,0.0094
1775602800000,10680.71,0.0
1775606400000,10683.1,0.0
1775610000000,10720.09,0.0
1775613600000,10728.44,0.0
1775617200000,10710.54,0.1669
1775620800000,10699.8,0.267
1775624400000,10736.8,0.0
1775628000000,10752.31,0.0
1775631600000,10797.1,0.0
1775635200000,10796.1,0.0093
1775638800000,10743.41,0.4973
1775642400000,10716.01,0.751
1775646000000,10736.33,0.5628
1775649600000,10793.59,0.0325
1775653200000,10741.87,0.5115
1775656800000,10584.22,1.9716
1775660400000,10633.14,1.5185
1775664000000,10611.13,1.7224
1775667600000,10608.68,1.7451
1775671200000,10488.82,2.8552
1775674800000,10488.82,2.8552
1775678400000,10435.01,3.3536
1775682000000,10373.86,3.92
1775685600000,10310.26,4.509
1775689200000,10349.39,4.1465
1775692800000,10273.56,4.8488
1775696400000,10280.9,4.7809
1775700000000,10288.24,4.7129
1775703600000,10298.03,4.6223
1775707200000,10273.56,4.8488
1775710800000,10258.89,4.9848
1775714400000,10251.55,5.0527
1775718000000,10285.8,4.7356
1775721600000,10307.81,4.5317
1775725200000,10327.38,4.3504
1775728800000,10346.95,4.1692
1775732400000,10288.24,4.7129
1775736000000,10390.98,3.7614
1775739600000,10378.75,3.8747
1775743200000,10540.19,2.3794
1775746800000,10633.14,1.5185
1775750400000,10559.76,2.1982
1775754000000,10601.34,1.813
1775757600000,10669.83,1.1787
1775761200000,10647.82,1.3826
1775764800000,10660.05,1.2693
1775768400000,10596.45,1.8584
1775772000000,10527.96,2.4927
1775775600000,9860.17,8.6776
1775779200000,9366.06,13.2539
1775782800000,9510.38,11.9173
1775786400000,9537.29,11.6681
1775790000000,9153.25,15.2249
1775793600000,8867.05,17.8756
1775797200000,9001.59,16.6296
1775800800000,8869.5,17.8529
1775804400000,8827.92,18.2381
1775808000000,8830.36,18.2154
1775811600000,8962.45,16.992
1775815200000,8935.54,17.2413
1775818800000,8847.48,18.0568
1775822400000,8796.12,18.5326
1775826000000,8823.02,18.2834
1775829600000,9023.6,16.4257
1775833200000,8967.34,16.9467
1775836800000,8972.24,16.9014
1775840400000,9001.59,16.6296
1775844000000,8984.47,16.7881
1775847600000,8893.96,17.6264
1775851200000,8832.81,18.1928
1775854800000,8857.27,17.9662
1775858400000,8681.15,19.5974
1775862000000,8700.72,19.4162
1775865600000,8673.81,19.6654
1775869200000,8676.26,19.6427
1775872800000,8827.92,18.2381
1775876400000,8820.58,18.306
1775880000000,8867.05,17.8756
1775883600000,8796.12,18.5326
1775887200000,8805.9,18.442
1775890800000,8774.1,18.7365
1775894400000,8798.56,18.5099
1775898000000,8813.24,18.374
1775901600000,8854.82,17.9889
1775905200000,8925.76,17.3319
1775908800000,8879.28,17.7623
1775912400000,8825.47,18.2607
1775916000000,8859.71,17.9436
1775919600000,8845.04,18.0795
1775923200000,8898.85,17.5811
1775926800000,8849.93,18.0342
1775930400000,8903.74,17.5358
1775934000000,9048.06,16.1991
1775937600000,9040.73,16.2671
1775941200000,9187.49,14.9078
1775944800000,9177.71,14.9984
1775948400000,9094.54,15.7687
1775952000000,9067.63,16.0179
1775955600000,8869.5,17.8529
1775959200000,8871.95,17.8303
1775962800000,8830.36,18.2154
